title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Bolognese Wrap,https://www.fatsecret.co.id/resep/60228969-bolognese-wrap/Default.aspx,Bolognese Wrap,Sidebar - Makan Siang,100 gram daging sapi giling | 3 gandum tortilla | 200 gram wortel dimasak | 2 siung bawang putih dimasak | 200 gram mentimun (kupas) | 15 g saus sambal | 3 g lada putih bubuk | 1 sdm saos tiram,"Kupas timun dan wortel lalu iris memanjang. Rebus wortel dalam air yang mendidih selama 1 menit (jangan terlalu layu). | Cincang 2 siung bawang putih. Tumis hingga harum kemudian masukkan daging cincang, tambahkan saus tiram, saus sambal, garam, lada. Masak hingga daging matang. | Letakkan daging cincang, wortel dan timun, susun memanjang diatas tortilla kemudian gulung. | Panggang tortilla hingga berwarna kecoklatan. Siap disajikan.","242,0 kkal","12,78 g","29,08 g","8,41 g","4,9 g","4,58 g","716,0 mg","430,0 mg","29,0 mg","2,799 g",Sempurna untuk setiap saat sepanjang hari.,PT10M,PT25M,3 porsi
Rebusan Ayam Saus Tiram,https://www.fatsecret.co.id/resep/59797708-rebusan-ayam-saus-tiram/Default.aspx,Rebusan Ayam Saus Tiram,Sidebar - Makan Siang,100 gram dada ayam | 1 sejumput lada hitam | 1 siung bawang putih | 2 gram daun bawang | 1 sejumput garam laut | 1/2 sdm minyak goreng | 1 1/2 sdm kecap manis | 1 sdm saos tiram | 10 gram bawang bombay,"Campurkan saus tiram, kecap asin, merica, dan sedikit air dalam mangkuk. | Potong ayam menjadi kubus dan rendam dalam saus. | Tumis bawang putih, daun bawang, dan bawang bombay dalam wajan dengan minyak. Aduk hingga harum. | Masukkan ayam yang sudah dimarinasi dengan saus dan garam. Rebus sampai daging berwarna cokelat muda.","329,0 kkal","29,87 g","21,29 g","12,76 g","0,2 g","15,02 g","1199,0 mg","284,0 mg","83,0 mg","4,329 g","Lezat, sumber hidangan protein.",PT10M,PT20M,1 porsi
Tumis Udang dan Bakso,https://www.fatsecret.co.id/resep/57882331-tumis-udang-dan-bakso/Default.aspx,Tumis Udang dan Bakso,Sidebar - Makan Siang,80 gram udang | 118 gram wortel | 120 gram kembang kol | 1 siung bawang putih | 30 gram bakso daging sapi | 30 gram bakso ayam | 3 g lada putih bubuk | 2 sdm saos tiram | 5 gram cabai merah besar,"Cuci udang dan kupas. Potong sayuran. | Tumis bawang putih di wajan yang sudah diolesi sedikit minyak sampai harum lalu tambahkan saus tiram. | Masukkan udang, bakso, dan sayuran. | Bumbui dan didihkan sampai matang.","164,0 kkal","17,68 g","14,18 g","3,98 g","3,4 g","5,68 g","732,0 mg","526,0 mg","106,0 mg","1,209 g",Hidangan bergizi untuk makan siang.,PT10M,PT20M,2 porsi
Ayam Goreng Bumbu Kuning,https://www.fatsecret.co.id/resep/57718759-ayam-goreng-bumbu-kuning/Default.aspx,Ayam Goreng Bumbu Kuning,Sidebar - Lauk Pauk,800 gram ayam | 300 ml air | 25 g bumbu racik ayam goreng,"Bilas dan potong ayam. | Masukkan air ke dalam panci, tambahkan bumbu ayam goreng dan didihkan. | Masukkan potongan ayam, lalu masak dengan api kecil hingga empuk dan air menyusut. | Goreng ayam di air fryer tanpa menggunakan minyak hingga matang.","487,0 kkal","54,14 g","2,5 g","26,98 g","0,0 g","0,0 g","1910,0 mg","442,0 mg","174,0 mg","7,517 g",Resep ayam juicy dan lezat dimasak dalam penggorengan udara.,PT10M,PT60M,4 porsi
Brokoli Bawang Putih,https://www.fatsecret.co.id/resep/57588354-brokoli-bawang-putih/Default.aspx,Brokoli Bawang Putih,Sidebar - Makan Siang,1 sdt garam | 100 gram brokoli | 3 siung bawang putih | 1/2 sdt gula pasir | 5 ml olive oil | 5 g kaldu jamur | 30 g sosis | 6 g saus tiram,"Bersihkan brokoli, potong lalu rendam dalam larutan garam 5-10menit. | Cincang bawang putih. Goreng bawang putih menggunakan ollive oil sampe kecoklatan, sisihkan. | Tumis sedikit bawang putih. | Masukan brokoli dan sosis. Tambahkan air kemudian tutup, tunghu sampai brokoli agak layu. | Tambahkan saus tiram, gula pasir, garam, dan kaldu jamur. | Hidangkan brokoli kemudian siramkan bawang putih goreng diatasnya.","190,0 kkal","8,03 g","15,3 g","11,67 g","2,8 g","5,22 g","2897,0 mg","352,0 mg","0,0 mg","3,987 g",Resep brokoli bawang putih ini sangat mudah dan hanya butuh waktu 10 menit.,PT10M,PT10M,1 porsi
Ayam Teriyaki,https://www.fatsecret.co.id/resep/57575462-ayam-teriyaki/Default.aspx,Ayam Teriyaki,Sidebar - Makan Siang,"25 gram bawang bombay | 1 sejumput garam | 50 gram daging dada ayam (ayam pedaging, dipanggang, dimasak) | 100 ml air | 1 sdm kecap manis | 15 g saus sambal | 1 jumput msg | 10 ml saori saus teriyaki","Dalam wajan panas dengan sedikit air, tumis bawang bombay dan cabai yang sudah dicincang. | Tambahkan air dan potongan ayam ke dalam wajan. Aduk selama beberapa menit. | Tambahkan semua bahan yang tersisa. Aduk rata dan pindahkan ke piring setelah matang.","204,0 kkal","15,89 g","26,2 g","2,78 g","0,4 g","20,62 g","2464,0 mg","169,0 mg","42,0 mg","0,689 g",Teriyaki ayam yang gurih dan juicy.,PT10M,PT10M,1 porsi
Ayam Suwir Kemangi,https://www.fatsecret.co.id/resep/57396052-ayam-suwir-kemangi/Default.aspx,Ayam Suwir Kemangi,Sidebar - Makan Siang,100 gram dada ayam | 1 utuh sedang tomat | 5 gram cabai merah atau rawit | 3 gram kunyit | 40 gram kemangi | 1 siung bawang putih | 28 g bawang merah | 5 ml olive oil,"Rebus ayam dan suwir. | Tumis bawang merah, bawang putih dan tomat dengan minyak zaitun. | Tambahkan sedikit air, suwiran ayam, kemangi, kunyit, cabai, garam dan merica. | Siap disajikan.","314,0 kkal","32,93 g","15,16 g","14,41 g","5,6 g","5,2 g","406,0 mg","949,0 mg","83,0 mg","3,682 g",Hidangan ayam gurih dengan rasa kemangi yang fantastis.,PT15M,PT20M,1 porsi
Ayam Suwir Kecap,https://www.fatsecret.co.id/resep/57339760-ayam-suwir-kecap/Default.aspx,Ayam Suwir Kecap,Sidebar - Lauk Pauk,150 gram dada ayam | 1 sdm cabai merah atau rawit | 1 sdm minyak goreng | 1 sdm kecap manis | 10 g kaldu jamur | 30 gram bawang bombay,"Rebus/kukus ayam sampai matang. | Jika sudah matang, angkat lalu robek-robek daging ayam menjadi ukuran kecil. | Cincang bawang bombay. Haluskan cabe rawit. | Panasan minyak diatas wajan. Tumis bawang bombay dan cabe rawit. Tambahkan kecap, kaldu jamur dan garam dan merica. | Masukkan ayam yang telah disuwir. | Aduk hingga semua bumbu tercampur rata. | Sajikan.","492,0 kkal","45,52 g","22,89 g","23,02 g","1,8 g","14,77 g","1142,0 mg","512,0 mg","124,0 mg","7,438 g",Tumpukan ayam juicy dilapisi dengan saus lezat.,PT10M,PT30M,1 porsi
Suwir Ayam Creamy,https://www.fatsecret.co.id/resep/57287715-suwir-ayam-creamy/Default.aspx,Suwir Ayam Creamy,Sidebar - Makan Siang,280 gram dada ayam rebus (kulit tidak dimakan) | 20 gram kaldu jamur | 10 gram keju cheddar | 10 gram bawang putih | 10 gram tomat merah | 1 sejumput garam laut | 200 ml non fat milk | 6 g lada putih bubuk | 9 ml minyak goreng tropical,"Rebus dada ayam kemudian suwir. | Panaskan minyak. Tumis bawang putih hingga kecoklatan. | Masukan tomat cincang, aduk sebentar. | Masukan dada ayam suwir, aduk rata. | Tuangkan susu non fat. | Bumbui dengan lada, garam, dan kaldu jamur. | Masukan keju, aduk kembali.","319,0 kkal","44,93 g","9,5 g","9,89 g","0,2 g","3,75 g","786,0 mg","300,0 mg","116,0 mg","3,992 g",Enak dan sehat.,PT10M,PT30M,2 porsi
Tumis Brokoli Jamur,https://www.fatsecret.co.id/resep/56949549-tumis-brokoli-jamur/Default.aspx,Tumis Brokoli Jamur,Sidebar - Makan Siang,150 gram daging sapi giling | 70 gram brokoli | 13 gram bawang putih | 3 g margarin | 113 gram jamur shimeji | 5 g saos tiram | 5 ml minyak wijen,"Tumis bawang putih dengan mentega sampai wangi. | Masukkan daging dan jamur, masak hingga matang. | Masukkan brokoli. | Masukkan saus tiram dan minyak wijen, tumis hingga matang.","283,0 kkal","22,3 g","8,54 g","17,9 g","2,4 g","1,72 g","461,0 mg","594,0 mg","66,0 mg","5,76 g",Tumis simpel jamur.,PT5M,PT15M,2 porsi
Oatmeal Goreng,https://www.fatsecret.co.id/resep/56502870-oatmeal-goreng/Default.aspx,Oatmeal Goreng,Sidebar - Makan Pagi,1 besar telur | 3 gram cabai merah atau rawit | 2 siung bawang putih | 10 gram selada air | 1 sedang wortel bayi | 3 kecil bawang merah | 1 sdm minyak goreng | 35 g instant oatmeal,"Panaskan frypan, masukan minyak lalu tumis bawang merah, bawang putih, sama cabe. | Setelah layu masukan telur tumis sampai mateng. | Masukan wortel tumis sampai layu. | Setelah layu masukkan oatmeal aduk sampai tercampur, tambahkan air sedikit agar dy bisa tercampur. | Tambahkan selada air atau sayuran pilihan lainnya.","416,0 kkal","14,25 g","50,24 g","19,21 g","7,0 g","10,24 g","90,0 mg","510,0 mg","212,0 mg","6,213 g",Penganti nasi goreng.,PT10M,PT15M,1 porsi
Bubur Ayam Merah,https://www.fatsecret.co.id/resep/55776931-bubur-ayam-merah/Default.aspx,Bubur Ayam Merah,Sidebar - Makan Pagi,30 gram dada ayam rebus (kulit tidak dimakan) | 1 kecil telur | 100 gram nasi merah | 1 gelas kaldu ayam | 10 gram daun bawang | 10 gram kacang sangrai kering (dengan garam) | 1 sdt gula pasir | 2 sdt fiber creme,"Membuat telur dadar. Gulung dan potong. Sisihkan untuk digunakan nanti. | Rebus dada ayam bersama bawang putih, daun salam dan garam secukupnya hingga matang. Tiriskan lalu suwir-suwir dagingnya. | Hancurkan beras merah dan rebus dengan kaldu ayam, tambahkan serat creme, gula dan garam secukupnya. | Tuang bubur ke dalam mangkuk. Tambahkan ayam suwir, kacang tanah sangrai, irisan telur dadar untuk topping dan taburi daun bawang.","331,0 kkal","19,3 g","36,34 g","12,76 g","4,8 g","5,64 g","1344,0 mg","257,0 mg","180,0 mg","4,345 g",Bubur ini dibuat dengan nasi merah dan topping sehat.,PT10M,PT20M,1 porsi
Pokcoy Ayam Saus Tiram,https://www.fatsecret.co.id/resep/55708644-pokcoy-ayam-saus-tiram/Default.aspx,Pokcoy Ayam Saus Tiram,Sidebar - Makan Siang,1 sejumput lada hitam | 200 gram daging dada ayam (ayam pedaging) | 1 siung bawang putih | 1 sdt jahe | 100 ml air | 150 gram pakcoy | 15 ml kecap manis light | 10 g tepung pati jagung | 15 g saos tiram | 1 bawang bombay,"Larutkan maizena dengan sedikit air. | Didihkan air dan rebus pokcoy selama 2 menit. Hapus dari panas dan tiriskan. | Dalam wajan panas, tumis bawang putih, jahe, dan bawang bombay hingga harum. | Masukkan ayam yang sudah dipotong-potong ke dalam wajan dan masak hingga berubah warna. | Tambahkan saus tiram, kecap asin, merica, air, dan tepung maizena yang sudah dilarutkan. | Aduk, biarkan bumbu meresap dan angkat dari api. | Tata pokcoy di piring dan tuangkan di atas ayam yang sudah dimasak.","327,0 kkal","47,66 g","25,38 g","2,66 g","1,6 g","11,15 g","1001,0 mg","762,0 mg","116,0 mg","0,696 g",Hidangan ayam yang enak dan lezat dengan pokcoy.,PT5M,PT5M,1 porsi
Chicken Deopbap,https://www.fatsecret.co.id/resep/55613809-chicken-deopbap/Default.aspx,Chicken Deopbap,Sidebar - Makan Siang,1 kecil chicken thigh | 1 sedang egg | 1 sdm soy sauce | 1 kecil young green onions | 1 1/2 cups cooked young green onion,"Tumis ayam tanpa minyak sampai kecoklatan. | Masukan bawang bombay, tumis sampai layu dgn ayam td, masukan air secukupnya tunggu mendidih. | Masukan telur yg sudah dikocok lepas, lalu masukan kecap asin dan daun bawang. Bumbui dengan garam dan merica sesuai selera. Tutup wajan sampai telur matang.","428,0 kkal","26,48 g","26,96 g","25,95 g","8,9 g","8,59 g","1655,0 mg","1069,0 mg","237,0 mg","6,178 g",Paha ayam telur dengan saus gurih.,PT10M,PT15M,1 porsi
Kwetiau Ayam,https://www.fatsecret.co.id/resep/55542734-kwetiau-ayam/Default.aspx,Kwetiau Ayam,Sidebar - Hidangan Utama,15 gram dada ayam | 2 gram bawang bombay dimasak | 1/2 sdt garam | 2 ml minyak goreng | 100 gram kwetiau | 1 sendok saus sambal | 2 sdm kecap manis,"Panaskan minyak dalam wajan dan tumis bawang bombay. | Masukkan ayam yg sudah di potong, lalu tumis sebentar. | Tambahkan kwetiau dan bumbunya. | Campur dengan baik. Angkat dari api setelah selesai. Tambahkan lauk yang diinginkan.","322,0 kkal","9,9 g","48,97 g","9,43 g","0,5 g","23,91 g","2387,0 mg","163,0 mg","16,0 mg","1,895 g",Hidangan ini benar-benar enak dan cepat dibuat di rumah.,PT15M,PT10M,1 porsi
Semur Tahu,https://www.fatsecret.co.id/resep/55371138-semur-tahu/Default.aspx,Semur Tahu,Sidebar - Makan Siang,2 siung bawang putih | 1 utuh sedang tomat merah | 1 gelas air | 3 kecil bawang merah | 100 gram tahu | 2 sdm kecap manis | 2 sendok saus sambal | 1 takaran royco ayam | 1 sendok makan minyak goreng sawit | 20 gram cabai merah besar,"Dalam wajan panas dengan minyak, tumis bawang putih, bawang merah, dan cabai merah. | Tambahkan tomat cincang, air dan kecap. | Terakhir masukkan tahu dan saus sambal. Campur dengan baik. | Masak hingga kental dan tambahkan royco. Aduk dan pindahkan ke dalam mangkuk.","212,0 kkal","5,84 g","32,8 g","7,22 g","2,5 g","21,27 g","860,0 mg","394,0 mg","0,0 mg","2,35 g",Rebusan tahu ini mengenyangkan dan sangat bergizi.,PT15M,PT10M,2 porsi
Tumis Tahu Telur Wortel,https://www.fatsecret.co.id/resep/55339621-tumis-tahu-telur-wortel/Default.aspx,Tumis Tahu Telur Wortel,Sidebar - Makan Siang,100 gram kacang panjang hijau | 1 besar putih telur | 100 gram wortel | 1 siung bawang putih | 1 utuh sedang tomat merah | 2 kecil bawang merah | 100 gram tahu,"Tumis bawang putih bawang merah dan bawang putih yang sudah dicincang halus. | Masukkan tomat yang sudah di iris. | Tumis sampai layu dan wangi tambahkan, garam secukupnya. | Kemuadian masukkan air sedikit lalu masukkan tahu dan putuh telur. | Setelah itu masukkan kacang dan wortel tumis sampai matang.","252,0 kkal","16,88 g","39,01 g","5,75 g","10,1 g","15,85 g","151,0 mg","1207,0 mg","0,0 mg","0,738 g",Tumis sayuran kaya protein.,PT5M,PT15M,1 porsi
Sup Telur Pedas,https://www.fatsecret.co.id/resep/55227787-sup-telur-pedas/Default.aspx,Sup Telur Pedas,Sidebar - Makan Siang,2 besar telur rebus | 1 gram kaldu jamur | 3 sdm cabai merah atau rawit | 1 sdt garam | 100 gram brokoli | 1 siung bawang putih | 2 gelas air | 2 kecil bawang merah | 5 sdm minyak goreng | 100 gram sawi hijau,"Haluskan cabe dan bawang merah, bawang putih lalu tumis dengan minyak goreng. | Lalu masukkan air, tunggu mendidih dan masukkan telur agar matang, serta garam dan kaldu jamur. | Saat telur sudah matang, masukkan sayuran dan tunggu hingga matang sesuai selera.","383,0 kkal","10,12 g","17,04 g","32,01 g","5,0 g","5,83 g","1366,0 mg","614,0 mg","211,0 mg","11,938 g",Dibuat ekstra sehat dengan sayuran.,PT5M,PT10M,2 porsi
Cumi Lada Hitam,https://www.fatsecret.co.id/resep/55077889-cumi-lada-hitam/Default.aspx,Cumi Lada Hitam,Sidebar - Makan Siang,300 gram cumi-cumi | 50 ml air | 2 tomat ceri | 1 sendok makan minyak goreng | 100 gram bawang bombay | 1 sendok saus lada hitam | 50 gram cabai merah besar,"Belah bawang bombay menjadi dua dan Iris memanjang setengahnya dan tumis dengan minyak sampai harum. | Masukan cumi, cabai, saos lada hitam dan air. | Kemudian masukan tomat tumis semuanya hingga masak.","107,0 kkal","12,17 g","6,46 g","3,36 g","0,6 g","2,26 g","100,0 mg","272,0 mg","175,0 mg","1,282 g",Dibuat spesial dengan cumi segar.,PT5M,PT15M,4 porsi
Bubur Ayam Oatmeal,https://www.fatsecret.co.id/resep/55027956-bubur-ayam-oatmeal/Default.aspx,Bubur Ayam Oatmeal,Sidebar - Minuman,100 gram dada ayam | 1 sdt minyak wijen | 1 siung bawang putih | 1 sdt jahe | 1 iris daun bawang | 20 gram sereh | 1 kecil bawang merah | 35 g instant oatmeal,"Tumis baput bawang merah, bawang putih sereh dan jahe. | Masukkan ayam, tumis sebentar. | Tambahkan air, masak hingga mendidih. | Masukkan oatmeal. Bumbui dengan garam, merica, kaldu jamur (optional). | Tambahkan minyak wijen. | Masak hingga tekstur sesuai yg di inginkan. | Taburi dengan daun bawang saat disajikan.","434,0 kkal","35,87 g","38,34 g","15,94 g","4,2 g","3,29 g","398,0 mg","520,0 mg","83,0 mg","3,362 g",Semangkuk oatmeal gurih gandum utuh yang lezat.,PT10M,PT15M,1 porsi
Tumis Tahu dan Tuna,https://www.fatsecret.co.id/resep/54958487-tumis-tahu-dan-tuna/Default.aspx,Tumis Tahu dan Tuna,Sidebar - Lauk Pauk,"10 gram cabai merah atau rawit | 1/2 sdt garam | 2 siung bawang putih | 2 kecil bawang merah | 57 1/2 gram tahu | 43,8 gram ikan tongkol | 1 sdm minyak kanola | 1 takaran royco ayam","Iris semua cabai, bawang merah dan bawa putih. Lalu tumis dengan minyak kanola. | Potong dadu tahu dan suwir ikan tongkol. Lalu, masukan ke bumbu yang sudah di tumis. | Tumis dan masukan garam serta royco secukupnya. Lalu hidangkan.","313,0 kkal","17,9 g","23,0 g","18,11 g","5,0 g","7,33 g","1783,0 mg","669,0 mg","18,0 mg","1,803 g",Kaya akan hidangan protein.,PT5M,PT15M,1 porsi
Bulgogi,https://www.fatsecret.co.id/resep/54907422-bulgogi/Default.aspx,Bulgogi,Sidebar - Hidangan Utama,250 gram daging sapi | 1 sejumput lada hitam | 3 sdm saus tiram | 10 sdm saus tomat | 70 ml kecap manis | 3 g lada putih bubuk | 20 ml minyak goreng | 100 gram bawang bombay | 15 ml kecap asin,"Iris tipis daging sapi dan bawang bombay. Masukkan ke dalam mangkuk dan tambahkan semua bumbu. | Marinasi selama 30 menit atau semalaman. | Dalam wajan yang sudah dipanaskan sebelumnya, tumis daging sapi yang sudah diasinkan, sering diaduk atau dibalik sesering yang Anda suka sampai matang. | Sajikan dengan telur dan beberapa sayuran.","705,0 kkal","35,52 g","65,6 g","33,82 g","1,0 g","51,62 g","3470,0 mg","764,0 mg","109,0 mg","13,728 g",Makanan lezat dan beraroma cocok untuk makan siang atau makan malam.,PT40M,PT15M,2 porsi
Spaghetti Gandum dengan Saus Tomat,https://www.fatsecret.co.id/resep/54467673-spaghetti-gandum-dengan-saus-tomat/Default.aspx,Spaghetti Gandum dengan Saus Tomat,Sidebar - Hidangan Utama,1 besar telur | 50 gram spageti gandum | 100 gram saus spageti tanpa daging | 1 siung bawang putih | 1 gelas air | 1 kecil bawang merah | 20 ml susu uht low fat,"Rebus air hingga mendidih beri sedikit garam. Masak spaghetti gandum dan tiriskan dalam saringan. | Tumis bawang bombay di atas granite teflon, tambahkan saus spageti tomat dan aduk rata. | Tambahkan spageti dan aduk. Tambahkan air sedikit demi sedikit. | Tambahkan telur dan susu rendah lemak dan aduk sampai sedikit mengental. | Pindahkan ke piring dan sajikan dengan mentimun, opsional.","252,0 kkal","12,42 g","34,01 g","7,95 g","3,8 g","12,69 g","686,0 mg","613,0 mg","213,0 mg","2,095 g",Hidangan pasta yang mudah dan memuaskan.,PT5M,PT10M,1 porsi
Bubur Ayam Oatmeal,https://www.fatsecret.co.id/resep/54406614-bubur-ayam-oatmeal/Default.aspx,Bubur Ayam Oatmeal,Sidebar - Makan Siang,30 gram dada ayam | 1 sedang telur rebus | 30 g instant oatmeal | 50 g sayur toge,Rebus ayam dan toge sampai masak. | Tiriskan ayam lalu cabik. | Selanjutnya masukkan oatmeal kedalam air bekas rebusan ayam. Tunggu sampai oatmeal matang. | Tambahkan merica dan garam. | Angkat oatmeal dan pindahkan ke piring. | Berikan toping telur rebus dan ayam di atasnya.,"304,0 kkal","35,65 g","21,06 g","9,97 g","2,6 g","0,49 g","240,0 mg","128,0 mg","211,0 mg","2,514 g",Enak dan simpel.,PT5M,PT10M,1 porsi
Bakwan Sayur Teflon,https://www.fatsecret.co.id/resep/54135353-bakwan-sayur-teflon/Default.aspx,Bakwan Sayur Teflon,Sidebar - Makan Pagi,30 gram kecambah | 22 gram wortel | 3 gram seledri | 7 gram daun bawang | 55 ml air | 1 sdm extra virgin olive oil | 40 g tepung bakwan,"Potong2 wortel, seledri n daun bawang. | Masukan kecambah, wortel, air dan tepung bakwan. Aduk rata dan bumbui dengan garam dan merica. | Beri teflon minyak zaitun. Panaskan minyak (jangan sampai terlalu panas). | Goreng hingga matang.","216,0 kkal","4,4 g","34,6 g","6,72 g","1,4 g","1,87 g","21,0 mg","123,0 mg","0,0 mg","0,93 g",Bakwan sayur versi sehat.,PT5M,PT10M,1 porsi
Cumi Hitam,https://www.fatsecret.co.id/resep/54028168-cumi-hitam/Default.aspx,Cumi Hitam,Sidebar - Makan Siang,457 gram cumi-cumi | 21 gram cabai merah atau rawit | 1/2 sdt garam | 37 gram bawang putih | 47 gram bawang merah | 1 sachet sweetener classic | 3 sdm saos tiram | 30 ml minyak goreng | 51 gram cabai merah besar,"Potong potong cumi sesuai selera, iris bawang merah, bawang putih dan cabai. | Panaskan minyak lalu tumis bawang hingga layu, masukkan cabai beri garam, gula dan saus tiram. | Masukkan cumi aduk aduk hingga rata dan beri air. | Masak selama 5 menit lalu hidangkan.","278,0 kkal","25,76 g","16,89 g","12,43 g","2,6 g","3,22 g","750,0 mg","643,0 mg","355,0 mg","4,793 g",Cumi hitam pedas cabe hijau.,PT10M,PT15M,3 porsi
Omlet Bayam,https://www.fatsecret.co.id/resep/53972358-omlet-bayam/Default.aspx,Omlet Bayam,Sidebar - Makan Pagi,3 sedang telur | 3 gram cabai merah atau rawit | 1 siung bawang putih | 1 ikat bayam | 2 kecil bawang merah | 5 g margarin | 2 g royco ayam,"Pecahkan telur, masukan cincang bawang merah, bawang putih, cabai. Kocok. | Setelah tercampur masukan royco secukupnya. | Lalu masukan bayam yang sudah di ambil bagian daun nya saja. | Siapkan pan anti lengket, masukan margarin sedikit saja. | Masukan adonan omlet bayam, lalu masak hingga matang. | Bolak balik adonan dan pastikan semua matang merata. | Setelah yakin sudah matang, angkat dan sajikan.","95,0 kkal","7,04 g","7,55 g","4,8 g","2,6 g","2,2 g","266,0 mg","587,0 mg","140,0 mg","1,11 g",Masakan simple dan mudah.,PT10M,PT15M,4 porsi
Pakcoy dengan Bawang Putih,https://www.fatsecret.co.id/resep/53892301-pakcoy-dengan-bawang-putih/Default.aspx,Pakcoy dengan Bawang Putih,Sidebar - Lauk Pauk,1 sdt garam | 1 sdt minyak wijen | 4 siung bawang putih | 1 sdt gula pasir | 1 sdm minyak goreng | 150 gram pakcoy | 3 g lada putih bubuk | 5.8 g saos tiram,"Tumis bawang putih dengan minyak goreng. | Tambahkan saus tiram, garam, merica. Rebus pakcoy. | Tiriskan pakcoy, siram dengan kuah.","193,0 kkal","1,72 g","14,22 g","14,68 g","1,5 g","7,0 g","2629,0 mg","236,0 mg","0,0 mg","4,673 g",Tumis Pakcoy dengan bawang putih adalah resep yang mudah dan sehat.,PT5M,PT15M,1 porsi
Pokcoy Kuah Pedas,https://www.fatsecret.co.id/resep/53800610-pokcoy-kuah-pedas/Default.aspx,Pokcoy Kuah Pedas,Sidebar - Makan Siang,100 gram dada ayam | 1 besar telur | 10 gram cabai merah atau rawit | 1/2 sdt minyak wijen | 2 siung bawang putih | 1/2 gelas air | 1/2 sdt gula pasir | 1 sejumput garam laut | 2 kecil bawang merah | 1 sdm kecap manis | 100 gram pakcoy | 15 g saus sambal | 1 g royco ayam | 5 ml minyak kelapa | 1 g lada putih bubuk | 50 gram jamur kancing | 150 gram tahu susu,"Rebus air dan sedikit garam, masukan pakcoy, tisirkan, tata dipiring. | Tumis bawang putih dan bawang merah dengan minyak kelapa sampai sedikit layu. Masukkan butir telur ayam biarkan matang, dibalik baru di orak arik, masukkan cabai, tumis sampai harum. | Masukkan ayam dan jamur kancing sampai ayam matang (berubah warna). Tambahkan garam, lada, royco, dan gula pasir. | Masukkan saus sambal, kecap manis, minyak wijen, aduk sampai rata, tambahkan air sesuai selera kemudian test rasa. | Terakhir masukkan tahu sebentar tidak usah diaduk-aduk, tunggu sampai air sedikit berkurang. Matikan api kompor, siram diatas pokcoy.","348,0 kkal","29,26 g","26,22 g","14,18 g","3,0 g","14,72 g","1103,0 mg","581,0 mg","158,0 mg","6,528 g",Pakcoy pedas yang adiktif dan gurih cocok dengan hidangan apa pun.,PT10M,PT15M,2 porsi
Bayam Tumis Tahu,https://www.fatsecret.co.id/resep/53617138-bayam-tumis-tahu/Default.aspx,Bayam Tumis Tahu,Sidebar - Makan Siang,1 besar telur | 150 gram bayam | 1 sdm minyak goreng | 230 gram tahu | 2 g royco ayam | 5 gram udang rebon | 1 sdm saos tiram,"Tumis udang, lalu masukkan telur dan di orak-arik dengan minyak goreng. | Tambahkan tahu yg sudah di hancurkan. | Sesudah wangi, masukkan bayam lalu tambahkan saos tiram dan royco. | Tunggu hingga bayam benar-benar matang. | Siap di hidangkan.","397,0 kkal","31,87 g","11,82 g","27,12 g","4,0 g","2,99 g","1069,0 mg","1187,0 mg","213,0 mg","6,994 g",Tumis tahu sehat ini adalah makanan menit terakhir yang bisa Anda masak dengan apa pun yang Anda miliki.,PT10M,PT15M,1 porsi
Chicken Teriyaki,https://www.fatsecret.co.id/resep/53444354-chicken-teriyaki/Default.aspx,Chicken Teriyaki,Sidebar - Makan Siang,86 gram chicken breast (skin not eaten) | 1 cup chopped broccoli | 1 siung garlic | 1 sedang onions | 1 kecil scallions or spring onions | 50 gram enoki mushrooms | 3 g lada putih bubuk | 1 sdt boncabe level 15 | 22 ml saus teriyaki,"Panggang ayam sampai setengah matang, masukkan bawang merah, bawang putih, tumis. | Masukkan brocoli dan teriyaki saus, boncabe, lada dan aduk sampai layu. | Masukkan jamur enoki dan scallions, masak.","304,0 kkal","31,57 g","32,81 g","3,69 g","5,2 g","15,48 g","2949,0 mg","864,0 mg","72,0 mg","0,951 g",Makanan mudah dan sehat yang sempurna untuk hari yang sibuk.,PT5M,PT20M,1 porsi
Telor Dadar,https://www.fatsecret.co.id/resep/53423326-telor-dadar/Default.aspx,Telor Dadar,Sidebar - Makan Pagi,"1 besar egg | 50 gram chives | 1 sdm, cincang scallions or spring onions | 25 g sosis ayam | 3 g lada putih bubuk | 1 sdm canola oil","Masukkan kucai kedalam teflon yg sudah diminyaki, masak sampai layu. | Kocok sosis potong dengan telor, masukkan bumbu dan daun bawang secukupnya. | Tuangkan adonan telor ke atas kucai, masak sampai matang.","246,0 kkal","11,04 g","7,0 g","19,17 g","1,4 g","1,44 g","243,0 mg","232,0 mg","212,0 mg","3,455 g","Resep sederhana yang menggunakan bahan-bahan yang sudah jadi di lemari es Anda, ditambah lagi cara memasaknya yang sangat cepat.",PT5M,PT10M,1 porsi
